id user    city        phone
1  test    Moscow      1234123
2  test2   Saint-P     1232121
3  test3   Tver        4352124
4  test4   Milan       7990923
5  test5   Moscow      908213
6  test6   Berlin      5647382
7  test7   Paris       6789123
8  test8   NewYork     3456789
9  test9   Tokyo       2345678
10 test10  Moscow      9876543
11 test11  London      4567891
12 test12  Madrid      5678912
13 test13  Moscow      6789123
14 test14  Rome        7891234
15 test15  Berlin      8912345
16 test16  Saint-P     9123456
17 test17  Tokyo       1234567
18 test18  NewYork     2345678
19 test19  Paris       3456789
20 test20  Tver        4567890
21 test21  Milan       5678901
22 test22  Rome        6789012
23 test23  London      7890123
24 test24  Madrid      8901234
25 test25  Berlin      9012345
26 test26  Tokyo       0123456
27 test27  NewYork     1234567
28 test28  Paris       2345678
29 test29  Moscow      3456789
30 test30  Tver        4567890
